Album,Track,日本語,Romaji,한국어,歌,Singer,가수,作詞,Lyrics,작사,作曲,Compose,작곡,編曲,Arrange,편곡,Release,Link,Category,Note,発音
君のこころは輝いてるかい？,1,君のこころは輝いてるかい？,Kimi no Kokoro wa Kagayaiteru kai?,너의 마음은 빛나고 있니?,Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,光増ハジメ,Hajime Mitsumasu,미츠마스 하지메,EFFY,EFFY,EFFY,2015-10-07,https://youtu.be/qwyZ5vEE5s4,Aqours,,きみのこころはかがやいてるかい
君のこころは輝いてるかい？,2,Step! ZERO to ONE,Step! ZERO to ONE,Step! ZERO to ONE,Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,高田 暁,Kyo Takada,타카다 쿄,高田 暁,Kyo Takada,타카다 쿄,2015-10-07,https://youtu.be/_ijn3e-3jtk,Aqours,,ステップ ゼロ トゥ ワン
君のこころは輝いてるかい？,3,Aqours☆HEROES,Aqours☆HEROES,Aqours☆HEROES,Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,渡辺和紀,Kazunori Watanabe,와타나베 카즈노리,渡辺和紀,Kazunori Watanabe,와타나베 카즈노리,2015-10-07,https://youtu.be/DeaGkBbi-2E,Aqours,,アクアーズ ヒーローズ
君のこころは輝いてるかい？,4,君のこころは輝いてるかい？ (Off Vocal),Kimi no Kokoro wa Kagayaiteru kai? (Off Vocal),너의 마음은 빛나고 있니? (Off Vocal),Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,光増ハジメ,Hajime Mitsumasu,미츠마스 하지메,EFFY,EFFY,EFFY,2015-10-07,NA,Aqours,,きみのこころはかがやいてるかい (オフボーカル)
君のこころは輝いてるかい？,5,はじめましてのご挨拶 ~高海千歌~,Hajimemashite no Goaisatsu ~Chika Takami~,첫 만남의 인사 ~타카미 치카~,高海千歌,Chika Takami,타카미 치카,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-10-07,NA,Aqours,Drama Part,はじめましてのごあいさつ ~たかみ ちか~
君のこころは輝いてるかい？,6,はじめましてのご挨拶 ~桜内梨子~,Hajimemashite no Goaisatsu ~Riko Sakurauchi~,첫 만남의 인사 ~사쿠라우치 리코~,桜内梨子,Riko Sakurauchi,사쿠라우치 리코,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-10-07,NA,Aqours,Drama Part,はじめましてのごあいさつ ~さくらうち りこ~
君のこころは輝いてるかい？,7,はじめましてのご挨拶 ~松浦果南~,Hajimemashite no Goaisatsu ~Kanan Matsuura~,첫 만남의 인사 ~마츠우라 카난~,松浦果南,Kanan Matsuura,마츠우라 카난,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-10-07,NA,Aqours,Drama Part,はじめましてのごあいさつ ~まつうら かなん~
君のこころは輝いてるかい？,8,はじめましてのご挨拶 ~黒澤ダイヤ~,Hajimemashite no Goaisatsu ~Dia Kurosawa~,첫 만남의 인사 ~쿠로사와 다이아~,黒澤ダイヤ,Dia Kurosawa,쿠로사와 다이아,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-10-07,NA,Aqours,Drama Part,はじめましてのごあいさつ ~くろさわ ダイヤ~
君のこころは輝いてるかい？,9,はじめましてのご挨拶 ~渡辺 曜~,Hajimemashite no Goaisatsu ~You Watanabe~,첫 만남의 인사 ~와타나베 요우~,渡辺 曜,You Watanabe,와타나베 요우,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-10-07,NA,Aqours,Drama Part,はじめましてのごあいさつ ~わたなべ よう~
君のこころは輝いてるかい？,10,はじめましてのご挨拶 ~津島善子~,Hajimemashite no Goaisatsu ~Yoshiko Tsushima~,첫 만남의 인사 ~츠시마 요시코~,津島善子,Yoshiko Tsushima,츠시마 요시코,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-10-07,NA,Aqours,Drama Part,はじめましてのごあいさつ ~つしま よしこ~
君のこころは輝いてるかい？,11,はじめましてのご挨拶 ~国木田花丸~,Hajimemashite no Goaisatsu ~Hanamaru Kunikida~,첫 만남의 인사 ~쿠니키다 하나마루~,国木田花丸,Hanamaru Kunikida,쿠니키다 하나마루,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-10-07,NA,Aqours,Drama Part,はじめましてのごあいさつ ~くにきだ はなまる~
君のこころは輝いてるかい？,12,はじめましてのご挨拶 ~小原鞠莉~,Hajimemashite no Goaisatsu ~Mari Ohara~,첫 만남의 인사 ~오하라 마리~,小原鞠莉,Mari Ohara,오하라 마리,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-10-07,NA,Aqours,Drama Part,はじめましてのごあいさつ ~おはら まり~
君のこころは輝いてるかい？,13,はじめましてのご挨拶 ~黒澤ルビィ~,Hajimemashite no Goaisatsu ~Ruby Kurosawa~,첫 만남의 인사 ~쿠로사와 루비~,黒澤ルビィ,Ruby Kurosawa,쿠로사와 루비,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-10-07,NA,Aqours,Drama Part,はじめましてのごあいさつ ~くろさわ ルビィ~
恋になりたいAQUARIUM,1,恋になりたいAQUARIUM,Koi Ni Naritai AQUARIUM,사랑이 되고 싶은 AQUARIUM,Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,佐々倉有吾,Yugo Sasakura,사사쿠라 유우고,渡辺和紀,Kazunori Watanabe,와타나베 카즈노리,2016-04-27,https://youtu.be/3j9YFNx12I0,Aqours,,こいになりたい アクアリウム
恋になりたいAQUARIUM,2,待ってて愛のうた,Matte Te Ai no Uta,기다려줘 사랑의 노래,Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,山口朗彦,Akihiko Yamaguchi,야마구치 아키히코,山口朗彦,Akihiko Yamaguchi,야마구치 아키히코,2016-04-27,https://youtu.be/XD-vjznVNXs,Aqours,,まっててあいのうた
恋になりたいAQUARIUM,3,届かない星だとしても,Todoka Nai Hoshi Da To Shi Te Mo,닿을 수 없는 별이라 해도,Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,宮崎 誠,Makoto Miyazaki,미야자키 마코토,宮崎誠,Makoto Miyazaki,미야자키 마코토,2016-04-27,https://youtu.be/U0rUoB9ojcM,Aqours,,とどかないほしだとしても
恋になりたいAQUARIUM,4,恋になりたいAQUARIUM (Off Vocal),Koi Ni Naritai AQUARIUM (Off Vocal),사랑이 되고 싶은 AQUARIUM (Off Vocal),Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,佐々倉有吾,Yugo Sasakura,사사쿠라 유우고,渡辺和紀,Kazunori Watanabe,와타나베 카즈노리,2016-04-27,NA,Aqours,,こいになりたい アクアリウム (オフボーカル)
恋になりたいAQUARIUM,5,突撃！風雲マリンパーク,Totsugeki! Fuuun Marine Park,돌격! 풍운 마린파크,Aqours,Aqours,Aqours,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-04-27,NA,Aqours,Drama Part,とつげき ふううん マリーンパーク
恋になりたいAQUARIUM,6,不思議！シーパラダイス発見,Fushigi! Sea Paradise Hakken,신기해! 씨 파라다이스 발견,Aqours,Aqours,Aqours,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-04-27,NA,Aqours,Drama Part,ふしぎ シーパラダイス はっけん
恋になりたいAQUARIUM,7,ゆったりたっぷり！深海水族館,Yuttari Tappuri! Shinkai Suizokukan,여유낙락! 심해수족관,Aqours,Aqours,Aqours,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-04-27,NA,Aqours,Drama Part,ゆったりたっぷり しんかいすいぞくかん
恋になりたいAQUARIUM,8,私たちのベストヒットステージ！,Watashitachi no Best Hit Stage,우리들의 베스트 히트 스테이지,Aqours,Aqours,Aqours,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-04-27,NA,Aqours,Drama Part,わたしたちのベストヒットステージ
元気全開DAY！DAY！DAY！,1,元気全開DAY! DAY! DAY!,Genki Zenkai Day! Day! Day!,원기전개 DAY! DAY! DAY!,CYaRon!,CYaRon!,CYaRon!,畑 亜貴,Aki Hata,하타 아키,高田 暁,Kyo Takada,타카다 쿄,高田 暁,Kyo Takada,타카다 쿄,2016-05-11,https://youtu.be/lGUOVwCiG3g,Aqours,,げんきぜんかい デイ デイ デイ
元気全開DAY！DAY！DAY！,2,夜空はなんでも知ってるの？,Yozorawa Nandemo Shitteruno?,밤하늘은 뭐든지 알고 있는 거야?,CYaRon!,CYaRon!,CYaRon!,畑 亜貴,Aki Hata,하타 아키,Kon-K,Kon-K,Kon-K,Kon-K,Kon-K,Kon-K,2016-05-11,https://youtu.be/-ugxwDzsflE,Aqours,,よぞらはなんでもしってるの
元気全開DAY！DAY！DAY！,3,元気全開DAY! DAY! DAY! (Off Vocal),Genki Zenkai Day! Day! Day! (Off Vocal),원기전개 DAY! DAY! DAY! (Off Vocal),CYaRon!,CYaRon!,CYaRon!,畑 亜貴,Aki Hata,하타 아키,高田 暁,Kyo Takada,타카다 쿄,高田 暁,Kyo Takada,타카다 쿄,2016-05-11,NA,Aqours,,げんきぜんかい デイ デイ デイ (オフボーカル)
